IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.169.63,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,4738 kB/s
8.219.110.81,2053,true,SIN,Asia Pacific,Singapore,253 ms,4722 kB/s
8.219.114.201,8443,true,SIN,Asia Pacific,Singapore,239 ms,4674 kB/s
8.222.184.198,2083,true,SIN,Asia Pacific,Singapore,252 ms,4658 kB/s
47.243.206.150,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,4633 kB/s
8.222.179.231,2096,true,SIN,Asia Pacific,Singapore,266 ms,4626 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,256 ms,4572 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,311 ms,4545 kB/s
8.217.232.246,2096,true,HKG,Asia Pacific,Hong Kong,71 ms,4530 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,248 ms,4525 kB/s
8.219.114.201,2087,true,SIN,Asia Pacific,Singapore,242 ms,4521 kB/s
8.222.162.45,2087,true,SIN,Asia Pacific,Singapore,240 ms,4493 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,267 ms,4490 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,244 ms,4484 kB/s
47.243.74.220,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,4467 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,242 ms,4460 kB/s
47.242.157.96,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,4444 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,242 ms,4441 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,252 ms,4437 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,254 ms,4433 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,218 ms,4420 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,4418 kB/s
8.210.146.108,2083,true,HKG,Asia Pacific,Hong Kong,77 ms,4395 kB/s
8.219.111.175,2087,true,SIN,Asia Pacific,Singapore,249 ms,4370 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,273 ms,4351 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,229 ms,4306 kB/s
8.219.99.169,2083,true,SIN,Asia Pacific,Singapore,242 ms,4271 kB/s
8.217.147.230,2087,true,HKG,Asia Pacific,Hong Kong,77 ms,4242 kB/s
8.219.200.145,2087,true,SIN,Asia Pacific,Singapore,230 ms,4217 kB/s
47.242.202.230,2083,true,HKG,Asia Pacific,Hong Kong,71 ms,4216 kB/s
8.219.126.240,2053,true,SIN,Asia Pacific,Singapore,239 ms,4213 kB/s
8.219.174.213,2096,true,SIN,Asia Pacific,Singapore,234 ms,4159 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,274 ms,4146 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,230 ms,4118 kB/s
47.76.204.76,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,4090 kB/s
47.237.100.206,8443,true,SIN,Asia Pacific,Singapore,279 ms,4089 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,230 ms,4069 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,224 ms,4056 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,250 ms,4050 kB/s
47.238.164.202,443,true,HKG,Asia Pacific,Hong Kong,64 ms,4049 kB/s
8.218.3.12,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,4044 kB/s
8.219.194.170,2096,true,SIN,Asia Pacific,Singapore,246 ms,4026 kB/s
8.222.146.222,2087,true,SIN,Asia Pacific,Singapore,251 ms,3975 kB/s
8.210.9.129,8443,true,HKG,Asia Pacific,Hong Kong,55 ms,3959 kB/s
8.219.114.201,2083,true,SIN,Asia Pacific,Singapore,246 ms,3959 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,224 ms,3948 kB/s
47.76.146.1,8443,true,HKG,Asia Pacific,Hong Kong,73 ms,3926 kB/s
8.219.194.170,8443,true,SIN,Asia Pacific,Singapore,279 ms,3925 kB/s
47.237.14.220,8443,true,SIN,Asia Pacific,Singapore,241 ms,3886 kB/s
47.236.102.102,8443,true,SIN,Asia Pacific,Singapore,239 ms,3848 kB/s
8.219.117.198,8443,true,SIN,Asia Pacific,Singapore,235 ms,3804 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,217 ms,3785 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,259 ms,3731 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,3716 kB/s
47.243.206.150,2096,true,HKG,Asia Pacific,Hong Kong,71 ms,3714 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,276 ms,3690 kB/s
